"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ITE00100550","1813","44.5","11.3458","53.0","BOLOGNA, IT","","","","","102","E","62","E","","","","","","","","","","","","","61.0",",E,0812,","","","","","","","","","","","","","","","","","","","","","","","","","","","620.6",",E","","","","","",""
"ITE00100550","1814","44.5","11.3458","53.0","BOLOGNA, IT","489.6","","489.6","E","101","E","55","E","0","E","46","E","4","E","107","E","2","E","-7.5","E,0223,","63.0",",E,1028,","33.8","E,0805,","-0.4","E,1209","","","","","","","","","-0.1","E,0301","-4.1","E,0225","-6.1","E,0224","-7.5","E,0223","","","","","","","645.6",",E","13.00","E","15.40","E","10.59","E"
"ITE00100550","1815","44.5","11.3458","53.0","BOLOGNA, IT","531.2","","531.2","E","105","E","58","E","0","E","37","E","10","E","142","E","0","E","-6.3","E,1216,+","66.0",",E,0611,","32.1","E,0717,","-0.6","E,1128","-2.5","E,1213","-5.3","E,1215","","","","","-0.9","E,0208","-2.5","E,0125","-5.4","E,0124","","","","","2150.5","","2150.5","E","741.9",",E","13.65","E","16.05","E","11.26","E"
"ITE00100550","1816","44.5","11.3458","53.0","BOLOGNA, IT","475.7","","475.7","E","106","E","47","E","0","E","66","E","3","E","142","E","1","E","-6.9","E,1210,","42.5",",E,1220,","32.3","E,0807,","0.0","E,1119","-2.5","E,1120","-6.9","E,1210","-6.9","E,1210","","","-0.3","E,0330","-2.5","E,0220","-6.0","E,0216","","","","","2450.1","","2450.1","E","548.8",",E","12.84","E","15.95","E","9.73","E"
"ITE00100550","1817","44.5","11.3458","53.0","BOLOGNA, IT","778.3","","778.3","E","71","E","39","E","0","E","16","E","0","E","146","E","10","E","-4.1","E,1229,","46.0",",E,0617,","36.3","E,0713,","0.0","E,1214","-4.1","E,1229","","","","","","","-2.5","E,0117","-2.5","E,0117","","","","","","","2267.4","","2267.4","E","479.6",",E","14.16","E","17.51","E","10.80","E"
"ITE00100550","1818","44.5","11.3458","53.0","BOLOGNA, IT","695.8","","695.8","E","84","E","48","E","0","E","31","E","0","E","152","E","4","E","-4.3","E,1229,","64.2",",E,0601,","33.8","E,0811,","-0.4","E,1204","-2.5","E,1223","","","","","","","-0.3","E,0214","-3.5","E,0110","","","","","","","2112.7","","2112.7","E","541.5",",E","14.49","E","17.42","E","11.56","E"
"ITE00100550","1819","44.5","11.3458","53.0","BOLOGNA, IT","743.0","","743.0","E","85","E","49","E","0","E","33","E","2","E","153","E","6","E","-6.3","E,0109,","97.0",",E,0907,","37.3","E,0710,","0.0","E,1126","-2.9","E,1230","","","","","","","0.0","E,0206","-2.3","E,0121","-6.3","E,0109","","","","","2121.4","","2121.4","E","691.2",",E","14.73","E","17.63","E","11.83","E"
"ITE00100550","1820","44.5","11.3458","53.0","BOLOGNA, IT","922.9","","922.9","E","85","E","51","E","0","E","41","E","10","E","147","E","24","E","-10.9","E,0113,","37.0",",E,0907,","35.8","E,0720,","0.0","E,1130","-4.0","E,1202","","","","","","","0.0","E,0217","-5.0","E,0116","-5.0","E,0116","-7.5","E,0115","-9.1","E,0114","2165.5","","2165.5","E","522.9",",E","14.62","E","17.60","E","11.64","E"
"ITE00100550","1821","44.5","11.3458","53.0","BOLOGNA, IT","730.8","","730.8","E","60","E","33","E","0","E","38","E","0","E","158","E","3","E","-4.6","E,1216,","37.5",",E,1228,+","32.5","E,0805,+","-2.5","E,1214","-2.5","E,1214","-4.6","E,1216","","","","","-2.1","E,0307","-3.1","E,0208","","","","","","","2208.6","","2208.6","E","464.2",",E","14.50","E","17.50","E","11.50","E"
"ITE00100550","1822","44.5","11.3458","53.0","BOLOGNA, IT","921.1","","921.1","E","59","E","36","E","0","E","23","E","6","E","162","E","23","E","-5.6","E,1231,","39.0",",E,0709,","36.3","E,0616,","-0.9","E,1214","-3.1","E,1219","-4.8","E,1228","","","","","-0.4","E,0129","","","","","","","","","1910.6","","1910.6","E","376.0",",E","15.55","E","18.76","E","12.35","E"
"ITE00100550","1823","44.5","11.3458","53.0","BOLOGNA, IT","743.4","","743.4","E","77","E","48","E","0","E","45","E","13","E","148","E","10","E","-7.5","E,0116,","34.5",",E,0201,","34.5","E,0806,","-1.0","E,1113","-2.3","E,1225","-5.0","E,1226","","","","","0.0","E,0322","-2.8","E,0125","-6.0","E,0123","-7.5","E,0116","","","2291.0","","2291.0","E","492.7",",E","13.80","E","16.95","E","10.64","E"
"ITE00100550","1824","44.5","11.3458","53.0","BOLOGNA, IT","699.0","","699.0","E","67","E","25","E","0","E","29","E","1","E","145","E","22","E","-5.0","E,0104,","31.0",",E,0603,","38.8","E,0716,","0.0","E,1221","","","","","","","","","0.0","E,0209","-2.5","E,0204","-5.0","E,0104","","","","","2294.3","","2294.3","E","288.6",",E","14.34","E","17.57","E","11.12","E"
"ITE00100550","1825","44.5","11.3458","53.0","BOLOGNA, IT","708.6","","708.6","E","72","E","34","E","0","E","32","E","0","E","147","E","14","E","-4.9","E,0209,","29.6",",E,1212,","35.1","E,0722,","","","","","","","","","","","0.0","E,0321","-2.5","E,0210","-4.9","E,0209","","","","","2158.1","","2158.1","E","406.9",",E","14.40","E","17.81","E","11.00","E"
"ITE00100550","1826","44.5","11.3458","53.0","BOLOGNA, IT","641.9","","641.9","E","96","E","56","E","0","E","25","E","5","E","134","E","8","E","-8.5","E,0116,","38.5",",E,0621,","33.5","E,0805,","-0.6","E,1229","-2.4","E,1230","","","","","","","-0.3","E,0216","-2.3","E,0130","-4.5","E,0123","-7.8","E,0117","","","2097.5","","2097.5","E","534.6",",E","13.94","E","16.88","E","10.99","E"
"ITE00100550","1827","44.5","11.3458","53.0","BOLOGNA, IT","600.1","","600.1","E","83","E","58","E","0","E","40","E","3","E","141","E","11","E","-6.8","E,0125,","48.5",",E,0718,","34.4","E,0716,","-1.3","E,1127","","","","","","","","","-0.5","E,0301","-4.8","E,0227","-4.8","E,0227","-6.8","E,0125","","","2175.2","","2175.2","E","569.3",",E","13.64","E","16.64","E","10.64","E"
"ITE00100550","1828","44.5","11.3458","53.0","BOLOGNA, IT","853.6","","853.6","E","45","E","26","E","0","E","38","E","2","E","152","E","31","E","-8.8","E,0108,","23.0",",E,1117,","37.1","E,0811,","-0.1","E,1107","-2.3","E,1216","","","","","","","-3.1","E,0218","-3.1","E,0218","-6.0","E,0217","-8.8","E,0108","","","2218.8","","2218.8","E","229.3",",E","14.65","E","18.11","E","11.18","E"
"ITE00100550","1829","44.5","11.3458","53.0","BOLOGNA, IT","604.4","","604.4","E","76","E","57","E","0","E","75","E","11","E","143","E","13","E","-9.0","E,0212,","47.0",",E,0318,","36.0","E,0728,","-1.5","E,1118","-2.9","E,1120","-5.5","E,1122","","","","","-0.6","E,0301","-3.1","E,0216","-4.8","E,0215","-7.8","E,0213","-9.0","E,0212","2348.3","","2348.3","E","601.7",",E","12.94","E","16.06","E","9.82","E"
"ITE00100550","1830","44.5","11.3458","53.0","BOLOGNA, IT","","","","","48","E","37","E","0","E","55","E","23","E","152","E","32","E","-16.9","E,0112,","38.5",",E,0517,","36.8","E,0803,","0.0","E,1215","","","","","","","","","-1.6","E,0306","-2.5","E,0304","-6.8","E,0217","-6.8","E,0217","-11.6","E,0216","","","","","471.9",",E","13.67","E","17.30","E","10.04","E"
"ITE00100550","1831","44.5","11.3458","53.0","BOLOGNA, IT","604.2","","604.2","E","64","E","49","E","0","E","36","E","11","E","134","E","5","E","-5.0","E,0131,+","60.0",",E,0311,","34.0","E,0716,","-0.6","E,1129","-3.5","E,1229","","","","","","","0.0","E,0223","-2.9","E,0203","-5.0","E,0131","","","","","2238.2","","2238.2","E","682.0",",E","14.06","E","17.04","E","11.08","E"
"ITE00100550","1832","44.5","11.3458","53.0","BOLOGNA, IT","625.3","","625.3","E","64","E","49","E","0","E","50","E","4","E","141","E","24","E","-5.0","E,1231,+","56.0",",E,0205,","37.4","E,0715,","-1.3","E,1206","-2.8","E,1207","-4.8","E,1229","","","","","0.0","E,0304","-2.5","E,0216","-4.4","E,0104","","","","","2307.8","","2307.8","E","719.5",",E","13.15","E","16.69","E","9.61","E"
"ITE00100550","1833","44.5","11.3458","53.0","BOLOGNA, IT","479.1","","479.1","E","78","E","59","E","0","E","32","E","4","E","125","E","3","E","-8.1","E,0125,","49.0",",E,0607,","33.5","E,0630,","0.0","E,1226","","","","","","","","","-0.6","E,0206","-2.5","E,0128","-7.5","E,0126","-7.5","E,0126","","","2372.3","","2372.3","E","768.0",",E","13.20","E","16.27","E","10.12","E"
"ITE00100550","1834","44.5","11.3458","53.0","BOLOGNA, IT","872.4","","872.4","E","33","E","21","E","0","E","34","E","0","E","163","E","17","E","-4.4","E,0211,","21.5",",E,0609,","37.0","E,0714,","-1.0","E,1212","-2.3","E,1222","","","","","","","-1.0","E,0320","-2.3","E,0319","-4.4","E,0211","","","","","2228.0","","2228.0","E","212.0",",E","14.68","E","18.34","E","11.03","E"
"ITE00100550","1835","44.5","11.3458","53.0","BOLOGNA, IT","555.8","","555.8","E","58","E","39","E","0","E","67","E","15","E","123","E","3","E","-11.0","E,1225,","74.0",",E,0621,","33.8","E,0706,","-0.3","E,1105","-2.3","E,1112","-5.9","E,1119","-7.8","E,1223","-9.0","E,1224","-0.3","E,0219","-3.1","E,0203","","","","","","","2195.7","","2195.7","E","501.2",",E","12.41","E","15.59","E","9.23","E"
"ITE00100550","1836","44.5","11.3458","53.0","BOLOGNA, IT","617.8","","617.8","E","40","E","33","E","0","E","50","E","13","E","128","E","13","E","-9.0","E,0102,","75.0",",E,0218,+","35.1","E,0704,","-1.0","E,1102","-2.3","E,1218","","","","","","","0.0","E,0223","-2.3","E,0129","-5.3","E,0121","-7.1","E,0106","-9.0","E,0102","2792.2","","2792.2","E","735.5",",E","13.24","E","16.43","E","10.06","E"
"ITE00100550","1837","44.5","11.3458","53.0","BOLOGNA, IT","648.8","","648.8","E","45","E","35","E","0","E","45","E","3","E","125","E","15","E","-6.0","E,0103,","34.0",",E,0828,","34.9","E,0616,","-0.3","E,1124","","","","","","","","","0.0","E,0325","-3.0","E,0207","-4.5","E,0111","","","","","2495.3","","2495.3","E","392.5",",E","12.89","E","16.14","E","9.64","E"
"ITE00100550","1838","44.5","11.3458","53.0","BOLOGNA, IT","623.5","","623.5","E","100","E","71","E","0","E","56","E","11","E","129","E","15","E","-8.5","E,0115,","36.5",",E,0227,","35.4","E,0715,","-0.5","E,1128","-2.5","E,1222","-4.4","E,1224","","","","","-0.5","E,0224","-2.5","E,0222","-6.4","E,0122","-7.9","E,0116","","","2517.3","","2517.3","E","707.3",",E","12.99","E","16.06","E","9.91","E"
"ITE00100550","1839","44.5","11.3458","53.0","BOLOGNA, IT","802.1","","802.1","E","106","E","65","E","0","E","37","E","5","E","147","E","36","E","-7.5","E,0204,","57.0",",E,0526,","36.3","E,0722,+","","","","","","","","","","","0.0","E,0317","-2.8","E,0207","-6.3","E,0205","-7.5","E,0204","","","2538.1","","2538.1","E","927.0",",E","14.17","E","17.33","E","11.01","E"
"ITE00100550","1840","44.5","11.3458","53.0","BOLOGNA, IT","638.9","","638.9","E","62","E","44","E","0","E","57","E","5","E","130","E","6","E","-7.0","E,0113,","45.0",",E,0405,","33.8","E,0722,","-2.3","E,1201","-2.3","E,1201","","","","","","","-0.4","E,0327","-2.3","E,0325","-5.5","E,0114","-7.0","E,0113","","","2185.6","","2185.6","E","491.0",",E","13.30","E","16.45","E","10.14","E"
"ITE00100550","1841","44.5","11.3458","53.0","BOLOGNA, IT","740.1","","740.1","E","57","E","38","E","0","E","41","E","5","E","160","E","11","E","-5.6","E,0203,","30.0",",E,0613,","35.3","E,0718,+","","","","","","","","","","","-0.4","E,0303","-2.8","E,0206","-5.6","E,0203","","","","","2277.9","","2277.9","E","381.5",",E","14.55","E","17.91","E","11.18","E"
"ITE00100550","1842","44.5","11.3458","53.0","BOLOGNA, IT","620.8","","620.8","E","69","E","56","E","0","E","51","E","6","E","125","E","5","E","-5.9","E,0109,","75.0",",E,0914,","33.8","E,0721,+","-0.6","E,1121","","","","","","","","","-0.3","E,0220","-3.5","E,0217","-4.9","E,0209","","","","","2209.7","","2209.7","E","740.0",",E","12.95","E","16.08","E","9.83","E"
"ITE00100550","1843","44.5","11.3458","53.0","BOLOGNA, IT","471.1","","471.1","E","64","E","44","E","0","E","26","E","1","E","142","E","3","E","-6.0","E,0106,","35.0",",E,0616,","32.9","E,0706,","0.0","E,1119","-2.8","E,1214","-4.8","E,1225","","","","","-0.9","E,0306","-2.5","E,0108","-6.0","E,0106","","","","","2284.9","","2284.9","E","471.5",",E","13.53","E","16.98","E","10.08","E"
"ITE00100550","1844","44.5","11.3458","53.0","BOLOGNA, IT","644.3","","644.3","E","68","E","55","E","0","E","55","E","12","E","142","E","12","E","-5.3","E,0111,","49.0",",E,0603,","33.5","E,0625,+","-0.3","E,1125","-2.3","E,1206","-5.0","E,1207","","","","","-0.9","E,0323","-3.8","E,0301","-4.8","E,0112","","","","","2382.7","","2382.7","E","629.5",",E","13.58","E","16.94","E","10.22","E"
"ITE00100550","1845","44.5","11.3458","53.0","BOLOGNA, IT","544.3","","544.3","E","76","E","54","E","0","E","34","E","6","E","134","E","7","E","-8.5","E,0221,","57.0",",E,0526,","36.4","E,0708,","-2.3","E,1215","-2.3","E,1215","","","","","","","-0.6","E,0323","-3.8","E,0223","-5.6","E,0222","-8.5","E,0221","","","2366.4","","2366.4","E","583.5",",E","13.32","E","16.55","E","10.10","E"
"ITE00100550","1846","44.5","11.3458","53.0","BOLOGNA, IT","746.5","","746.5","E","91","E","71","E","0","E","41","E","14","E","132","E","27","E","-8.6","E,1217,","68.5",",E,1111,","36.1","E,0726,","-3.9","E,1214","-3.9","E,1214","-5.3","E,1215","-7.9","E,1216","","","-1.3","E,0216","-2.5","E,0212","","","","","","","2011.2","","2011.2","E","1023.9",",E","14.35","E","17.41","E","11.29","E"
"ITE00100550","1847","44.5","11.3458","53.0","BOLOGNA, IT","576.6","","576.6","E","76","E","36","E","0","E","38","E","4","E","138","E","3","E","-4.0","E,1220,+","36.0",",E,1020,","35.0","E,0523,","-1.1","E,1218","-4.0","E,1219","","","","","","","0.0","E,0314","-2.3","E,0313","","","","","","","2397.8","","2397.8","E","415.5",",E","13.28","E","16.18","E","10.38","E"
"ITE00100550","1848","44.5","11.3458","53.0","BOLOGNA, IT","674.3","","674.3","E","63","E","50","E","0","E","41","E","16","E","124","E","5","E","-5.6","E,1223,+","45.0",",E,1002,","33.1","E,0729,","-1.0","E,1205","-3.8","E,1221","-5.3","E,1222","","","","","-1.0","E,0207","-2.4","E,0204","-5.3","E,0129","","","","","2364.7","","2364.7","E","539.5",",E","13.70","E","16.41","E","10.99","E"
"ITE00100550","1849","44.5","11.3458","53.0","BOLOGNA, IT","716.8","","716.8","E","58","E","36","E","0","E","36","E","15","E","134","E","13","E","-7.3","E,0113,","52.0",",E,0928,","34.1","E,0624,","-1.0","E,1128","-2.5","E,1129","","","","","","","-1.3","E,0316","-2.3","E,0204","-4.8","E,0114","-7.3","E,0113","","","2348.8","","2348.8","E","505.6",",E","13.94","E","16.90","E","10.98","E"
"ITE00100550","1850","44.5","11.3458","53.0","BOLOGNA, IT","515.7","","515.7","E","77","E","56","E","0","E","41","E","17","E","112","E","0","E","-5.6","E,0129,+","36.0",",E,1221,","31.3","E,0706,","0.0","E,1227","","","","","","","","","0.0","E,0329","-2.5","E,0320","-5.6","E,0129","","","","","2481.6","","2481.6","E","647.5",",E","12.88","E","15.29","E","10.47","E"
"ITE00100550","1851","44.5","11.3458","53.0","BOLOGNA, IT","534.9","","534.9","E","102","E","70","E","0","E","41","E","1","E","138","E","1","E","-5.0","E,1222,","46.5",",E,0829,","32.5","E,0803,","0.0","E,1118","-4.9","E,1129","-4.9","E,1129","","","","","-2.5","E,0304","-2.5","E,0304","","","","","","","2159.3","","2159.3","E","693.1",",E","13.40","E","16.85","E","9.95","E"
"ITE00100550","1852","44.5","11.3458","53.0","BOLOGNA, IT","526.4","","526.4","E","82","E","48","E","0","E","41","E","1","E","136","E","19","E","-4.0","E,0315,","70.0",",E,1011,","34.8","E,0720,","-1.3","E,1225","-3.5","E,1226","","","","","","","-1.0","E,0420","-4.0","E,0315","","","","","","","2664.9","","2664.9","E","640.8",",E","12.81","E","16.54","E","9.08","E"
"ITE00100550","1853","44.5","11.3458","53.0","BOLOGNA, IT","621.9","","621.9","E","105","E","68","E","0","E","67","E","7","E","128","E","45","E","-12.3","E,1231,","45.0",",E,0327,","37.8","E,0708,","-1.6","E,1126","-2.5","E,1127","-9.0","E,1230","-9.0","E,1230","-9.0","E,1230","-1.3","E,0328","-2.3","E,0226","-4.8","E,0121","","","","","2638.3","","2638.3","E","733.6",",E","12.44","E","15.87","E","9.01","E"
"ITE00100550","1854","44.5","11.3458","53.0","BOLOGNA, IT","543.6","","543.6","E","66","E","41","E","0","E","61","E","10","E","148","E","12","E","-10.0","E,0103,+","66.0",",E,0826,","35.4","E,0721,","-0.3","E,1111","-3.1","E,1230","","","","","","","0.0","E,0321","-4.0","E,0223","-4.4","E,0222","-6.9","E,0214","-10.0","E,0103","2635.0","","2635.0","E","551.3",",E","12.65","E","16.68","E","8.61","E"
"ITE00100550","1855","44.5","11.3458","53.0","BOLOGNA, IT","460.8","","460.8","E","106","E","64","E","0","E","72","E","24","E","139","E","5","E","-11.3","E,0124,","76.0",",E,1119,","35.6","E,0804,","-1.5","E,1206","-3.4","E,1212","-4.4","E,1213","-7.3","E,1214","-9.0","E,1220","-0.8","E,0313","-2.3","E,0312","-4.8","E,0225","-7.5","E,0221","-11.3","E,0124","2772.8","","2772.8","E","817.2",",E","12.11","E","15.66","E","8.56","E"
"ITE00100550","1856","44.5","11.3458","53.0","BOLOGNA, IT","543.2","","543.2","E","96","E","59","E","0","E","51","E","3","E","161","E","10","E","-9.5","E,1206,","51.5",",E,0727,","35.4","E,0817,","-1.0","E,1107","-2.9","E,1117","-6.3","E,1203","-9.5","E,1206","-9.5","E,1206","-0.1","E,0401","-2.5","E,0117","","","","","","","2134.5","","2134.5","E","635.1",",E","13.40","E","17.80","E","8.99","E"
"ITE00100550","1857","44.5","11.3458","53.0","BOLOGNA, IT","465.5","","465.5","E","76","E","52","E","0","E","89","E","0","E","147","E","12","E","-7.4","E,0207,","31.5",",E,1016,","35.3","E,0729,+","-0.9","E,1114","-2.5","E,1123","-5.3","E,1224","","","","","-1.3","E,0322","-3.6","E,0313","-5.5","E,0218","-7.3","E,0208","","","2760.7","","2760.7","E","508.4",",E","12.53","E","17.04","E","8.02","E"
"ITE00100550","1858","44.5","11.3458","53.0","BOLOGNA, IT","406.1","","406.1","E","76","E","54","E","0","E","99","E","21","E","147","E","4","E","-10.4","E,0215,+","59.5",",E,1020,","35.5","E,0723,","-1.1","E,1103","-3.6","E,1104","-4.4","E,1219","","","","","-0.3","E,0317","-3.5","E,0314","-5.8","E,0302","-7.3","E,0217","-10.4","E,0215","2792.9","","2792.9","E","728.4",",E","11.49","E","15.78","E","7.20","E"
